k,weight_factor,penalty_factor,MSE
8,180,0.8,1.9209336835741198
8,180,0.9,1.9058716712809225
8,180,1,1.91620084443057
9,1,0.1,1.9172814098086515
9,1,0.2,1.9035824882186658
9,1,0.3,1.8783691056143452
9,1,0.6,1.9222911135330654
9,1,0.7,1.932127249924301
9,1,0.8,1.918265300108433
9,1,0.9,1.9104078428189333
9,1,1,1.9264513757657655
9,30,0.1,1.915856759231535
9,30,0.2,1.901601585227707
9,30,0.3,1.8765135842598855
9,30,0.6,1.919542092613529
9,30,0.7,1.9291851299120542
9,30,0.8,1.9156486137464972
9,30,0.9,1.9080770231653708
9,30,1,1.9238244266937348
9,80,0.1,1.9141046205788763
9,80,0.2,1.8987908504559432
9,80,0.3,1.8739085854295374
9,80,0.6,1.9153894139905803
9,80,0.7,1.924665147936439
9,80,0.8,1.9116374345353517
9,80,0.9,1.9045238073242168
9,80,1,1.9197626799302419
9,120,0.1,1.9132747985594853
9,120,0.2,1.8969804191183754
9,120,0.3,1.8721986280830814
9,120,0.6,1.912267258682108
9,120,0.7,1.9211768549397414
9,120,0.8,1.90847176087893
9,120,0.9,1.9016665143097355
9,120,1,1.9164810234855054
9,140,0.1,1.9130322475889103
9,140,0.2,1.8961920774371945
9,140,0.3,1.8714323850453187
9,140,0.6,1.9107483102025682
9,140,0.7,1.9194614643360368
9,140,0.8,1.9068998460398185
9,140,0.9,1.9002401116843024
9,140,1,1.9148461488658675
9,145,0.1,1.9129886851254456
9,145,0.2,1.8960059409946637
9,145,0.3,1.8712490202358116
9,145,0.6,1.9103738273282627
9,145,0.7,1.9190370721993149
9,145,0.8,1.9065098621277412
9,145,0.9,1.8998858831697787
9,145,1,1.9144403210098817
9,150,0.1,1.9129518330323911
9,150,0.2,1.8958240344702504
9,150,0.3,1.8710688518872927
9,150,0.6,1.9100016607182366
9,150,0.7,1.918614735937983
9,150,0.8,1.9061213748175432
9,150,0.9,1.8995329099873421
9,150,1,1.9140359429082978
9,180,0.1,1.9128694796605312
9,180,0.2,1.8948189739000463
9,180,0.3,1.870054560258589
9,180,0.6,1.9078228254648897
9,180,0.7,1.9161302270944498
9,180,0.8,1.9038283138502903
9,180,0.9,1.8974476528672664
9,180,1,1.9116456996013027
10,1,0.1,1.909040354370801
10,1,0.2,1.900349346025286
10,1,0.3,1.8742907486815312
10,1,0.6,1.9195274167767509
10,1,0.7,1.9327756670350427
10,1,0.8,1.9268800044281904
10,1,0.9,1.9186253952911843
10,1,1,1.9286722038456097
10,30,0.1,1.9070025156565287
10,30,0.2,1.8979550114430093
10,30,0.3,1.8722365884099441
10,30,0.6,1.916539428210624
10,30,0.7,1.929639015464666
10,30,0.8,1.92371901598971
10,30,0.9,1.9157614528746447
10,30,1,1.9256749254091634
10,80,0.1,1.9043220595595902
10,80,0.2,1.8944943115658606
10,80,0.3,1.8692806521843999
10,80,0.6,1.9119718210928685
10,80,0.7,1.924765197619038
10,80,0.8,1.9188213461839294
10,80,0.9,1.9113757459343332
10,80,1,1.9210373281956612
10,120,0.1,1.902838824636385
10,120,0.2,1.8921970647439936
10,120,0.3,1.8672610385723512
10,120,0.6,1.908499003297552
10,120,0.7,1.9209612683970025
10,120,0.8,1.9149772097564715
10,120,0.9,1.9079023058837707
10,120,1,1.9173268645251464
10,140,0.1,1.9022931319403251
10,140,0.2,1.8911720154794922
10,140,0.3,1.8663277060472478
10,140,0.6,1.9067969118553791
10,140,0.7,1.9190756496950956
10,140,0.8,1.9130737956869697
10,140,0.9,1.9061787277905968
